date,1 (low bm),2,3,4,5,6,7,8,9,10 (high bm)
19990630,-0.032174,-0.00936,0.064133,0.047497,0.070126,-0.001966,-0.030381,0.022433,0.000228,0.088726
19990731,-0.007288,0.086127,0.057398,0.005484,0.030516,0.046033,0.056364,0.033621,0.021756,0.034897
19990831,0.056239,-0.010273,-0.010452,0.014423,-0.033106,0.031513,0.074487,0.008635,0.060399,0.039847
19990930,-0.002816,-0.026789,-0.024219,-0.049898,-0.100488,-0.022124,-0.015796,-0.007785,0.002219,-0.059405
19991031,0.009231,0.050783,0.096474,0.115418,-0.054307,0.007157,-0.046794,-0.014473,-0.013967,-0.057377
19991130,0.156777,0.261616,0.009685,0.110978,0.080652,0.09676,0.034398,0.018971,0.079224,0.014666
19991231,0.113387,0.12489,-0.01892,0.108035,0.183115,0.129191,0.088602,0.177063,0.159129,0.127829
20000131,0.012971,0.095514,0.024706,0.019769,-0.018499,-0.0472,-0.067352,0.026602,0.096294,0.084709
20000229,0.344465,0.479782,-0.13482,-0.053814,-0.030133,0.023135,0.011067,0.032231,0.06451,-0.036719
20000331,-0.011163,0.023673,-0.060461,-0.002298,0.029887,0.03044,0.086649,-0.01716,0.081094,0.002269
20000430,-0.027783,-0.124984,-0.033972,-0.06707,0.031419,-0.007288,-0.00459,0.000476,0.027726,0.103102
20000531,0.040771,0.026222,0.061423,0.08284,0.048268,0.097171,0.079625,0.027443,0.146185,0.057191
20000630,0.060756,0.14008,-0.013211,-0.038387,0.040383,-0.026366,0.025803,0.039774,0.047683,0.00849
20000731,0.079921,0.05901,0.089887,0.042851,-0.038346,0.033632,0.036248,0.088751,0.001736,0.05629
20000831,0.049845,0.083716,0.025061,0.050869,0.135056,0.119798,0.137214,0.098444,0.202629,0.138623
20000930,0.029882,-0.012703,0.055979,0.023688,-0.031483,-0.032295,-0.05721,-0.020925,-0.017649,-0.013997
20001031,0.028731,-0.014292,-0.025831,-0.076015,-0.015777,0.034161,-0.031071,0.029664,0.014308,-0.039339
20001130,-0.150046,-0.15987,-0.047198,-0.085587,-3.8e-05,-0.021133,-0.027193,0.013264,-0.05999,-0.091167
20001231,0.021013,-0.097867,0.100651,-0.02925,-0.002227,0.00571,0.084993,0.024437,-0.021495,0.017245
20010131,0.09307,0.141964,0.088423,0.03269,0.040151,0.023543,-0.065291,-0.052491,0.0945,0.035493
20010228,-0.076567,0.017837,-0.024271,0.032828,-0.006709,0.069734,0.125819,0.080532,0.028865,0.094601
20010331,-0.108688,-0.119083,-0.089878,-0.085843,-0.005296,-0.118146,0.01901,-0.013075,-0.044092,-0.072479
20010430,0.109495,0.057624,0.108445,0.056466,0.052398,-0.067032,0.116951,0.095521,0.031332,0.075051
20010531,0.062138,-0.040713,0.011968,-0.0216,0.015177,0.064692,0.062894,0.106725,-0.026883,0.018365
20010630,-0.064616,-0.098226,-0.034558,0.002732,-0.002637,-0.018409,-0.083442,-0.051619,0.000724,-0.024291
20010731,0.038935,0.029605,0.021195,-0.017731,-0.026504,0.066033,-0.030698,-0.022553,0.015455,-0.006249
20010831,0.034139,-0.044483,-0.097706,0.04875,-0.015522,-0.060679,0.008078,-0.041547,-0.036454,-0.04639
20010930,-0.028124,-0.139731,-0.071788,-0.19302,-0.151091,-0.315969,-0.168525,-0.128156,-0.068638,-0.057385
