date,1 (small size),2,3,4,5,6,7,8,9,10 (large size)
19880531,-0.015201,-0.055934,-0.077267,-0.025155,-0.068676,-0.05284,-0.06043,-0.045731,-0.054817,-0.027846
19880630,-0.01438,0.028829,-0.05028,0.047452,0.00747,0.095094,0.071876,0.022422,0.043661,0.079045
19880731,0.079269,0.01421,0.027957,0.026448,0.022534,0.005225,0.035735,0.045468,-0.003899,0.017313
19880831,0.004173,0.034716,-0.064386,0.081656,-0.037418,-0.056468,-0.062169,-0.05543,-0.042917,-0.074165
19880930,0.121112,-0.003915,0.026658,0.042446,-0.038966,0.022034,0.066352,0.012937,0.018819,0.044017
19881031,0.110513,-0.030698,0.016352,0.007822,-0.015448,0.196441,0.090635,0.077938,0.007396,0.015795
19881130,0.06954,0.0086,0.064807,0.04094,0.025365,0.007531,0.058947,-0.026156,0.014059,0.067395
19881231,0.032314,0.100292,0.101189,0.092659,0.063089,0.098027,0.117838,0.252103,0.104654,0.122864
19890131,0.201865,0.057039,0.132074,0.256251,0.271878,0.225723,0.27837,0.228606,0.149715,0.170726
19890228,0.041192,0.15165,0.032417,0.020838,0.012851,0.0321,0.062103,0.04394,0.089815,0.013757
19890331,0.025848,0.030331,-0.004659,0.093458,0.053298,0.062057,0.01881,0.062784,0.15785,0.120182
19890430,0.091127,-0.008585,0.036694,0.062611,0.002833,0.097206,-0.025705,0.083645,0.183608,0.051047
19890531,0.139045,0.090666,0.05939,0.019,0.076404,0.052257,0.111733,0.10698,0.03733,-0.014553
19890630,0.020784,-0.022942,-0.049131,0.020888,0.011024,-6.7e-05,-0.003198,-0.053773,-0.039667,0.021524
19890731,0.021652,0.044858,-0.00133,0.048117,0.011998,0.059937,0.0801,0.024662,0.051301,0.000616
19890831,0.067124,-0.003739,0.018038,0.026345,-0.002195,-0.004412,0.122508,0.056441,0.045628,0.051807
19890930,0.094712,0.110365,0.069169,0.085935,-0.013201,0.063619,0.051065,0.021287,0.091903,-0.014262
19891031,-0.075875,-0.014449,-0.038316,-0.078064,-0.050958,-0.095875,-0.096674,-0.101361,-0.208317,-0.076837
19891130,0.090655,-0.01537,0.000785,0.127406,-0.01685,0.047369,0.025306,0.051398,-0.048816,0.089065
19891231,0.064015,0.055158,0.018273,0.058765,0.049079,0.172208,0.08753,0.061699,0.157784,0.08857
19900131,0.294582,0.153174,0.021976,0.046018,0.071925,0.016012,0.058085,0.047792,0.078572,0.109796
19900228,0.120686,0.145989,0.205282,0.218682,0.097439,0.067859,0.059586,0.084262,0.062863,0.080612
19900331,0.08716,0.055254,-0.009075,-0.007083,0.034002,0.00024,0.053456,0.034018,-0.018145,0.039136
19900430,-0.034898,-0.012589,0.043153,-0.041767,-0.011118,-0.015681,-0.037555,-0.048399,-0.102576,-0.051195
19900531,0.041038,0.062411,0.042388,0.079105,-0.006606,0.010675,0.024555,0.104314,0.060434,0.107046
19900630,0.048506,0.018647,-0.033793,-0.038553,-0.023959,0.054894,-0.053762,-0.039224,-0.028736,-0.055821
19900731,0.055481,0.095161,0.020991,0.0336,0.026725,0.075895,0.038197,0.053672,0.086497,0.102298
19900831,-0.011381,-0.060176,-0.005365,-0.054139,0.01406,-0.020317,-0.118563,-0.165567,-0.144649,0.000236
19900930,-0.041647,0.0026,-0.048677,-0.046679,-0.057469,-0.077839,-0.112742,-0.143237,-0.147117,-0.054873
19901031,0.033573,-0.049433,-0.044203,-0.059285,-0.081969,-0.008227,-0.069855,-0.016967,-0.026404,-0.073578
19901130,-0.148,0.049816,-0.049028,-0.072737,-0.087505,-0.081065,-0.065611,-0.003976,-0.013823,-0.024926
19901231,-0.033869,0.005979,-0.018363,-0.047641,-0.036776,-0.01953,-0.019567,-0.06412,-0.053403,-0.076772
19910131,0.083851,-0.032804,0.013122,-0.007252,-0.086539,-0.093929,-0.03453,-0.063672,-0.069859,-0.067437
19910228,-0.011125,0.056893,0.131945,0.049913,0.199011,0.080216,0.11158,0.203595,0.096729,0.121092
19910331,-0.048164,0.010177,0.012164,0.064659,0.022895,0.060435,0.073999,0.047378,0.020479,0.035843
19910430,0.020704,-0.046443,-0.037753,-0.042742,-0.017827,-0.057466,-0.074025,-0.028173,0.025171,-0.01056
19910531,0.043106,0.010117,0.032619,0.086093,0.00508,0.032997,0.081149,0.038501,0.025074,0.128684
19910630,-0.025574,-0.081849,0.025278,0.025424,0.054765,-0.046965,-0.019708,0.055336,-0.057304,-0.048972
19910731,-0.01775,0.035113,0.053794,-0.031223,0.016005,0.012662,0.013583,-0.00044,0.00445,0.042176
19910831,-0.002147,-0.011716,0.054557,-0.051137,0.033833,0.058489,0.008629,0.02321,0.002351,0.030613
19910930,0.006954,0.00663,-0.025468,0.084364,-0.016071,-0.068925,-0.078559,-0.039989,-0.04018,-0.052087
19911031,-0.092406,-0.057214,-0.074615,0.024037,-0.107758,-0.038567,-0.026095,-0.022838,-0.117895,-0.038324
19911130,-0.058501,-0.039249,-0.112815,-0.113275,-0.077659,-0.093541,-0.175013,-0.131959,-0.191524,-0.146889
19911231,0.128616,0.027248,0.072372,0.006248,0.0594,0.059187,-0.007261,0.048274,0.200854,0.043998
19920131,0.189341,0.167912,0.022102,0.20091,0.052328,0.177651,0.143018,0.102821,0.048214,0.071467
19920229,0.046684,-0.047437,-0.040253,-0.056629,-0.044804,-0.047603,-0.087818,-0.072249,-0.063962,-0.076103
19920331,-0.075975,-0.031265,0.003,-0.042817,0.082513,0.097922,-0.029496,-0.007565,0.043057,0.069093
19920430,0.109739,0.286364,0.006234,-0.043534,0.008178,0.148728,0.004457,0.085787,0.029493,0.06443
